Annotator,Paper,Cited-by,Follow-up,Citing Sentence,Tagged Sentence
A,A00-1043,C00-2140,0,"Since we only use shallow methods for textual analysis that do not generate a dependency structure, we cannot use complex methods for text reduction as described, e.g., in (Jing, 2000).","Since we only use shallow methods for textual analysis that do not generate a dependency structure, we cannot use complex methods for text reduction as described, e.g., in TREF."
A,A00-1043,P02-1057,0,"Sentence simplification systems (Chandrasekar et al., 1996; Mahesh, 1997; Carroll et al., 1998; Grefenstette, 1998; Jing, 2000; Knight and Marcu, 2000) are capable of compressing long sentences by deleting unimportant words and phrases.",Sentence simplification systems (GTREF) are capable of compressing long sentences by deleting unimportant words and phrases.
A,A97-1011,W09-1118,1,"Each token is represented using a fairly standard menagerie of features, including such stemming from the surface appearance of the token (e.g., Contains dollar? Length in characters), calculated based on linguistic pre-processing made with the English Functional Dependency Grammar (Tapanainen and J¨arvinen, 1997) (e.g., Case, Part-of-speech), fetched from precompiled lists of information (e.g., Is first name?), and features based on predictions concerning the context of the token (e.g, Class of previous token).","Each token is represented using a fairly standard menagerie of features, including such stemming from the surface appearance of the token (e.g., Contains dollar? Length in characters), calculated based on linguistic pre-processing made with the English Functional Dependency Grammar TREF (e.g., Case, Part-of-speech), fetched from precompiled lists of information (e.g., Is first name?), and features based on predictions concerning the context of the token (e.g, Class of previous token)."
A,A97-1011,A00-2017,1,"The training and the test data were processed by the FDG parser (Tapanainen and Jrvinen, 1997).",The training and the test data were processed by the FDG parser TREF.
A,A97-1011,C00-2099,0,"The only other high-delity computational rendering of Tesniere's dependency syntax that we are aware of is that of (Tapanainen and Jarvinen, 1997), which is neither generative nor statistical.","The only other high-_x005fdelity computational rendering of Tesniere's dependency syntax that we are aware of is that of TREF, which is neither generative nor statistical."
A,A97-1011,W04-1505,0,"The Statistical Dependency Model Most successful deep-linguistic Dependency Parsers (Lin, 1998; Tapanainen and Jarvinen, 1997) do not have a statistical base.",The Statistical Dependency Model Most successful deep-linguistic Dependency Parsers (GTREF) do not have a statistical base.
A,A97-1011,P99-1033,0,"J~irvinen and Tapananinen have demonstrated an efficient wide-coverage dependency parser for English (Tapanainen and J~irvinen, 1997; J£rvinen and Tapanainen, 1998).",J~irvinen and Tapananinen have demonstrated an efficient wide-coverage dependency parser for English (GTREF).
A,A97-1011,W06-0202,3,"Generating Dependency Patterns Three dependency parsers were used for these experiments: MINIPAR3 (Lin, 1999), the Machinese Syntax4 parser from Connexor Oy (Tapanainen and J¨arvinen, 1997) and the Stanford5 parser (Klein and Manning, 2003).","Generating Dependency Patterns Three dependency parsers were used for these experiments: MINIPAR3 REF, the Machinese Syntax4 parser from Connexor Oy TREF and the Stanford5 parser REF."
A,A97-1011,P01-1006,3,"Pre-processing tools Parser The current version of the evaluation workbench employs one of the high performance ”super-taggers” for English - Conexor’s FDG Parser (Tapanainen and Jarvinen, 1997).",Pre-processing tools Parser The current version of the evaluation workbench employs one of the high performance ”super-taggers” for English - Conexor’s FDG Parser TREF.
A,A97-1011,E12-1072,0,"The corpus was parsed by Connexor’s Machinese Syntax (Connexor Oy, 2006), which returns lexical and morphological information as well as the dependency relations between words by employing a functional dependency grammar (Tapanainen and Jarvinen, 1997).","The corpus was parsed by Connexor’s Machinese Syntax REF, which returns lexical and morphological information as well as the dependency relations between words by employing a functional dependency grammar TREF."
A,C00-1072,C02-1130,2,"A topic signature, as described in (Lin and Hovy, 2000), is a list of terms that can be used to signal the membership of a text in the relevant topic or category. We implemented the algorithm described in (Lin and Hovy, 2000) with the addition of a cutoff, such that the topic signatures for a term are only included if the p1/p2 for that term is greater than the mean p1/p2 over all terms.","A topic signature, as described in TREF, is a list of terms that can be used to signal the membership of a text in the relevant topic or category. We implemented the algorithm described in TREF with the addition of a cutoff, such that the topic signatures for a term are only included if the p1/p2 for that term is greater than the mean p1/p2 over all terms."
A,C00-1072,C04-1077,1,"This is an extension of Lin’s method (Lin and Hovy, 2000).",This is an extension of Lin’s method TREF.
A,C00-1072,C08-1021,1,"Topic Signatures Topic Signatures (TS) are word vectors related to a particular topic (Lin and Hovy, 2000).",Topic Signatures Topic Signatures (TS) are word vectors related to a particular topic TREF.
A,C00-1072,C08-1124,1,"Recently, content features were also well studied, including centroid (Radev et al., 2004), signature terms (Lin and Hovy, 2000) and high frequency words (Nenkova e t al., 2006). Lin and Hovy (2000) identified signature terms that were strongly associated with documents based on statistics measures.","Recently, content features were also well studied, including centroid REF, signature terms TREF and high frequency words REF. REF identified signature terms that were strongly associated with documents based on statistics measures."
A,C00-1072,D08-1080,0,"More advanced methods for query expansion use “topic signatures” – words and grammatically related pairs of words that model the query and even the expected answer from sets of documents marked as relevant or not (Lin & Hovy, 2000; Harabagiu, 2004).",More advanced methods for query expansion use “topic signatures” – words and grammatically related pairs of words that model the query and even the expected answer from sets of documents marked as relevant or not (GTREF).
A,C00-1072,D09-1032,1,"Topic signatures are words highly descriptive of the input, as determined by the application of loglikelihood test (Lin and Hovy, 2000).","Topic signatures are words highly descriptive of the input, as determined by the application of loglikelihood test TREF."
A,C00-1072,E09-1062,0,"Log-likelihood ratio for words in the input Number of topic signature words (Lin and Hovy, 2000; Conroy et al., 2006) and percentage of signature words in the vocabulary.",Log-likelihood ratio for words in the input Number of topic signature words (GTREF) and percentage of signature words in the vocabulary.
A,C00-1072,I08-1016,0,"NP-rewrite enhanced frequency summarizer Frequency and frequency-related measures of importance have been traditionally used in text summarization as indicators of importance (Luhn, 1958; Lin and Hovy, 2000; Conroy et al., 2006).",NP-rewrite enhanced frequency summarizer Frequency and frequency-related measures of importance have been traditionally used in text summarization as indicators of importance (GTREF ).
A,C00-1072,J10-1003,0,"Comparing the Machine-Made Summaries and the Manually Created Extracts Measuring sentence co-selection between extractive summaries created by humans and those created by automatic summarizers has a long tradition in the text summarization community (Lin and Hovy 2000; Marcu 2000), but this family of measures has a number of well-known shortcomings.","Comparing the Machine-Made Summaries and the Manually Created Extracts Measuring sentence co-selection between extractive summaries created by humans and those created by automatic summarizers has a long tradition in the text summarization community (GTREF), but this family of measures has a number of well-known shortcomings."
A,C00-1072,J11-1001,0,ROUGE (Lin and Hovy 2000) compares any summary to any other (typically human-generated) summary using a recall-oriented approach.,ROUGE TREF compares any summary to any other (typically human-generated) summary using a recall-oriented approach.
